[GIN] 2026/02/20 - 18:00:06 | 204 |      15.333µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:00:06 | 204 |    6.365834ms |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:00:06 | 200 |  430.937042ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:00:06 | 200 |   11.360875ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:00:21 | 204 |      32.042µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:00:21 | 404 |      15.625µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:00:21 | 204 |       6.792µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:00:21 | 404 |        8.25µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:05:24 | 204 |    8.708208ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:05:24 | 204 |    8.692459ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:05:24 | 404 |       1.166µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:05:24 | 404 |         875ns |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:05:28 | 204 |     349.417µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:05:28 | 204 |       25.75µs |             ::1 | OPTIONS  "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:05:29 | 200 |  294.973583ms |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:05:29 | 200 |     484.708µs |             ::1 | GET      "/api/admin/story-groups"
[GIN] 2026/02/20 - 18:05:40 | 204 |     448.667µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:05:40 | 204 |     447.208µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:05:40 | 404 |       2.084µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:05:40 | 404 |         875ns |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:06:45 | 204 |    1.121667ms |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:06:45 | 204 |       3.625µs |             ::1 | OPTIONS  "/api/admin/stats"
[GIN] 2026/02/20 - 18:06:45 | 404 |       2.084µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:06:45 | 404 |       6.125µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:06:46 | 404 |       36.75µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:06:47 | 404 |       3.375µs |             ::1 | GET      "/api/admin/stats"
[GIN] 2026/02/20 - 18:06:51 | 204 |       5.709µs |             ::1 | OPTIONS  "/api/admin/stats"
